Benchmark,Agent,Model,Acc,Cost,run_combined,file_combined,Date,run_id,matched_json,similarity
taubench_airline,TAU-bench FewShot Agent,o4-mini-2025-04-16-low,0.48,18.8144266,taubench_airline TAU-bench FewShot Agent o4-mini-2025-04-16-low,taubench_airline TAU-bench FewShot (o4-mini-2025-04-16 low) ,2025-04-19,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,evals_live/taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.json,0.9385444568673279
taubench_airline,TAU-bench FewShot Agent,o4-mini-2025-04-16-high,0.6,18.921285,taubench_airline TAU-bench FewShot Agent o4-mini-2025-04-16-high,taubench_airline TAU-bench FewShot (o4-mini-2025-04-16 high) ,2025-04-20,taubench_airline_taubench_fewshot_o4mini20250416_high_1745112675,evals_live/taubench_airline_taubench_fewshot_o4mini20250416_high_1745112675_UPLOAD.json,0.9368155647162335
taubench_airline,TAU-bench FewShot Agent,gpt-4o-2024-11-20,0.4,46.47,taubench_airline TAU-bench FewShot Agent gpt-4o-2024-11-20,taubench_airline TAU-bench FewShot (gpt-4o-2024-11-20) ,2025-04-06,taubench_airline_1743961943,evals_live/taubench_airline_1743961943_UPLOAD.json,0.9317658505876186
taubench_airline,TAU-bench FewShot Agent,gpt-4.1-2025-04-14,0.56,42.576132,taubench_airline TAU-bench FewShot Agent gpt-4.1-2025-04-14,taubench_airline TAU-bench FewShot (gpt-4.1-2025-04-14) ,2025-04-20,taubench_airline_taubench_fewshot_gpt4120250414_1745112637,evals_live/taubench_airline_taubench_fewshot_gpt4120250414_1745112637_UPLOAD.json,0.927820007210017
taubench_airline,TAU-bench FewShot Agent,deepseek-ai/DeepSeek-V3,0.34,30.604145,taubench_airline TAU-bench FewShot Agent deepseek-ai/DeepSeek-V3,taubench_airline TAU-bench FewShot (deepseek-ai/DeepSeek-V3) ,2025-04-19,taubench_airline_taubench_fewshot_deepseekaideepseekv3_1745101128,evals_live/taubench_airline_taubench_fewshot_deepseekaideepseekv3_1745101128_UPLOAD.json,0.9426752694650957
taubench_airline,TAU-bench FewShot Agent,claude-3-7-sonnet-20250219,0.34,36.45,taubench_airline TAU-bench FewShot Agent claude-3-7-sonnet-20250219,taubench_airline TAU-bench FewShot (claude-3-7-sonnet-20250219) ,2025-04-07,taubench_airline_1744000536,evals_live/taubench_airline_1744000536_UPLOAD.json,0.9245818995422042
taubench_airline,TAU-bench FewShot Agent,deepseek-ai/DeepSeek-R1,0.36,31.749418,taubench_airline TAU-bench FewShot Agent deepseek-ai/DeepSeek-R1,taubench_airline TAU-bench FewShot (deepseek-ai/DeepSeek-R1) ,2025-04-19,taubench_airline_taubench_fewshot_deepseekaideepseekr1_1745101169,evals_live/taubench_airline_taubench_fewshot_deepseekaideepseekr1_1745101169_UPLOAD.json,0.941099813132956
taubench_airline,TAU-bench FewShot Agent,claude-3-7-sonnet-20250219-thinking-high,0.6,37.23,taubench_airline TAU-bench FewShot Agent claude-3-7-sonnet-20250219-thinking-high,taubench_airline TAU-bench FewShot (claude-3-7-sonnet-20250219) ,2025-04-07,taubench_airline_1744000536,evals_live/taubench_airline_1744000536_UPLOAD.json,0.8848322226001062
taubench_airline,TAU-bench FewShot Agent,o3-2025-04-16,0.44,237.93,taubench_airline TAU-bench FewShot Agent o3-2025-04-16,taubench_airline TAU-bench FewShot (o3-2025-04-03) ,2025-04-15,taubench_airline_taubench_fewshot_o320250403_1744728447,evals_live/taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.json,0.9334527714613082
taubench_airline,HAL Generalist Agent,gemini-2.0-flash,0.22,2.003067,taubench_airline HAL Generalist Agent gemini-2.0-flash,taubench_airline HAL Generalist Agent (gemini-2.0-flash) ,2025-04-30,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,evals_live/taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.json,0.9748157146357559
